image_filename,morphology
07Acne081101,papula
07AcnePittedScars1,papula
07AcnePittedScars,papula
07PerioralDermEye,macula
07PerioralDermNose,macula
07PerioralDermq,macula
07PerioralSteroid1,macula
07PerlecheAccutane,escama
07rosacea010206OK,macula
07RosaceaForehead,macula
07RosaceaFulFAce,macula
07RosaceaK02161,papula
07RosaceaK02162,papula
07RosaceaK02163,papula
07RosaceaK02164,papula
07RosaceaK02165,papula
07RosaceaK02166,papula
07RosaceaK0216,papula
07RosaceaMilia0120,papula
07RosaceaOK0828062,papula
07RosaceaOK0828063,papula
07RosaceaOK082806,papula
07RosaceaTel011204,macula
07rosaceaTreated091806OK,papula
07sebDerem1101051,escama
07sebDerem1101052,escama
07sebDerem110105,macula
07SteroidPerioral1,macula
07SteroidPerioral,macula
07SteroidRosacea43,macula
07SteroidRosacea,macula
07SteroidRosGlab,macula
07VascularFace0120,macula
08PerioralDerm0203,macula
08PerioralDerm1,macula
acne-closed-comedo-16,papula
acne-closed-comedo-17,papula
acne-closed-comedo-18,papula
acne-closed-comedo-19,papula
acne-closed-comedo-1,papula
acne-closed-comedo-20,papula
acne-closed-comedo-21,papula
acne-closed-comedo-22,papula
acne-closed-comedo-23,papula
acne-closed-comedo-24,papula
acne-closed-comedo-25,papula
acne-closed-comedo-26,papula
acne-closed-comedo-27,papula
acne-closed-comedo-28,papula
acne-closed-comedo-29,papula
acne-closed-comedo-2,papula
acne-closed-comedo-31,papula
acne-closed-comedo-32,papula
acne-closed-comedo-33,papula
acne-closed-comedo-34,papula
acne-closed-comedo-35,papula
acne-closed-comedo-36,papula
acne-closed-comedo-38,papula
acne-closed-comedo-3,papula
acne-closed-comedo-40,papula
acne-closed-comedo-5,papula
acne-closed-comedo-6,papula
acne-closed-comedo-7,papula
acne-closed-comedo-8,papula
acne-closed-comedo-9,papula
acne-Closed-Comedo,papula
03DermatitisAreola45,papula
03DermatitisLids1,macula
03DermatitisLids,macula
03EczemaAreolae1,macula
03Icthyosis,escama
05Atopic010224,macula
05atopic011005323,macula
05atopic011005,macula
03ContactDermLids1,macula
03dermatitisDrug1122051,macula
03dermatitisDrug112205,macula
03DermatitisLids1,macula
03DermatitisLids,macula
03Desquamation-01,escama
03Desquamation12341,escama
03Desquamation1234,escama
03eczema091205,escama
03Eczema0915,escama
05hyperkeratosis01010,engrosamiento
05hyperkeratosis02010,engrosamiento
aug_0_chapped-fissured-feet-8,escama
aug_0_eczema-fingertips-26,escama
aug_1001_eczema-nummular-128,escama
aug_1002_chapped-fissured-feet-16,escama
aug_1007_eczema-fingertips-57,escama
aug_100_eczema-nummular-127,macula
aug_1014_eczema-hand-153,escama
aug_1015_eczema-fingertips-72,escama
aug_1016_eczema-hand-177,escama
aug_1018_eczema-hand-132,escama
aug_1019_lichen-simplex-chronicus-184,macula
aug_1028_eczema-nummular-139,macula
aug_1024_stasis-dermatitis-113,macula
aug_1021_eczema-hand-169,escama
aug_1023_eczema-nummular-152,papula
aug_1023_eczema-nummular-152,escama
aug_1024_stasis-dermatitis-113,escama
aug_1026_Dyshidrosis-47,escama
aug_1026_Dyshidrosis-47,papula
aug_1027_eczema-hand-176,escama
aug_1028_eczema-nummular-139,macula
aug_1029_eczema-fingertips-76,escama
aug_1033_stasis-dermatitis-155,escama
aug_1036_eczema-fingertips-30,escama
aug_1039_lichen-simplex-chronicus-132,macula
aug_103_eczema-fingertips-88,escama
aug_1040_stasis-dermatitis-157,macula
aug_1042_lichen-simplex-chronicus-17,macula
aug_1044_eczema-nummular-168,escama
aug_1045_eczema-acute-20,papula
aug_1046_eczema-nummular-84,escama
aug_1050_eczema-arms-12,escama
aug_1053_lichen-simplex-chronicus-185,macula
aug_1058_keratolysis-exfoliativa-21,escama
aug_1059_eczema-fingertips-107,escama
aug_0_pityriasis-rosea-110,macula
aug_0_psoriasis-palms-soles-185,escama
aug_1000_Pityriasis-Lichenoides-2,macula
aug_1003_lichen-planus-149,macula
aug_1004_psoriasis-palms-soles-105,escama
aug_1005_psoriasis-palms-soles-179,macula
aug_1006_Psoriasis-Chronic-Plaque-192,macula
aug_1008_Lichen-Sclerosus-Skin-75,escama
aug_1009_psoriasis-palms-soles-131,escama
aug_1011_Psoriasis-Chronic-Plaque-197,engrosamiento
aug_1013_pityriasis-rosea-90,macula
aug_1014_psoriasis-scalp-38,macula
aug_1015_pityriasis-rosea-83,macula
aug_1016_lichen-planus-84,macula
aug_1018_Lichen-Sclerosus-Skin-4,macula
aug_1025_Pityriasis-Lichenoides-24,macula
aug_1026_Pityriasis-Lichenoides-34,macula
aug_1027_Pityriasis-Lichenoides-38,macula
aug_1029_lichen-planus-17,macula
aug_1032_psoriasis-palms-soles-166,escama
aug_1035_08sebKerm11220468,macula
aug_1039_Psoriasis-Hand-31,escama
aug_103_Psoriasis-Guttate-24,macula
aug_1041_Psoriasis-Guttate-82,macula
aug_1042_seborrheic-dermatitis-125,macula
aug_1043_lichen-planus-159,macula
aug_1050_psoriasis-digits-3,macula
aug_1051_lichen-planus-16,macula
aug_1053_pityriasis-rosea-10,escama
aug_1054_lichen-planus-83,macula
aug_1056_pityriasis-rosea-166,escama
aug_1057_lichen-planus-18,macula
aug_1060_Lichen-Sclerosus-Skin-111,macula
aug_1062_psoriasis-palms-soles-189,escama
aug_1063_Pityriasis-Lichenoides-19,macula
aug_1064_pityriasis-rosea-99,macula
aug_1067_pityriasis-rubra-pilaris-33,macula
aug_1070_Psoriasis-Chronic-Plaque-178,macula
aug_1072_08sebKerm11220468,macula
aug_1073_psoriasis-pustular-generalized-32,macula
aug_1079_seborrheic-dermatitis-123,macula
aug_1081_pityriasis-rosea-122,macula
aug_1084_Psoriasis-HIV-3,macula
aug_1088_pityriasis-rosea-170,papula
